00:00:00,7e0:01:0f,7e0:01:42,7e0:01:0d,7e0:01:10,7e0:01:0b,7e1:15:1e,7e0:01:0c,7e0:01:04
a5 9a 01 00,33,37 e4,19,0d a0,80,,1b 2c,84
8c 9e 01 00,33,37 5b,1a,0c 8d,7a,,1b 18,7c
74 a2 01 00,33,37 e4,1a,0c 2c,78,,1b 5c,7d
5c a6 01 00,34,37 e4,1b,0c 2c,78,,1b 90,79
44 aa 01 00,34,37 e4,1b,0c 77,78,,1b b0,7a
2d ae 01 00,34,37 e4,1b,0c 7c,79,,1b dc,7a
15 b2 01 00,34,37 e4,1b,0c f9,7a,,1c 5c,7a
fd b5 01 00,34,37 e4,1c,0d 2b,7b,,1c 84,77
e4 b9 01 00,34,37 f7,1c,0d 2b,7b,,1c a0,78
cc bd 01 00,34,37 e4,1c,0d 68,7b,,1c ac,79
b4 c1 01 00,34,37 f7,1b,0d 18,7b,,1c 74,79
9c c5 01 00,34,37 e4,1b,0d 26,7b,,1c 28,7c
84 c9 01 00,34,37 d0,1a,0e 04,7c,,1c 2c,84
6c cd 01 00,34,37 e4,1a,0e f5,80,,1c 30,8c
54 d1 01 00,35,37 f7,1a,10 ce,87,,1c 9c,8d
3b d5 01 00,35,37 e4,1a,10 ac,86,,1c cc,8d
24 d9 01 00,35,37 f7,1a,10 cb,86,,1c d0,8a
0c dd 01 00,35,37 e4,1a,11 26,87,,1c f0,8b
f4 e0 01 00,36,37 e4,1a,11 5e,88,,1d 08,8a
dc e4 01 00,36,37 e4,1a,11 32,89,,1d 34,89
c4 e8 01 00,36,37 d0,1a,11 3a,89,,1d 34,89
ac ec 01 00,36,37 d0,1b,11 4b,89,,1d 4c,88
94 f0 01 00,36,37 e4,1a,0b 10,79,,19 f4,54
7c f4 01 00,36,37 e4,17,08 01,6a,,15 d0,74
63 f8 01 00,36,37 a9,14,08 79,6a,,14 80,73
4b fc 01 00,36,37 a9,11,05 80,65,,0e 98,38
39 00 02 00,35,37 6f,0e,0a d1,65,,15 e0,ed
1c 04 02 00,36,37 e4,10,11 64,82,,19 d8,b4
09 08 02 00,36,37 d0,12,12 15,8f,,1a 34,a2
f1 0b 02 00,37,37 d0,14,12 0d,90,,1a bc,9f
d9 0f 02 00,37,37 d0,16,0e 7e,84,,15 c8,b8
c0 13 02 00,37,37 e4,18,10 96,88,,18 10,b5
a9 17 02 00,37,37 e4,1a,12 37,8e,,19 50,a9
91 1b 02 00,38,37 e4,1b,12 58,92,,1a 68,a0
79 1f 02 00,38,37 d0,1c,12 9d,92,,1b 64,9c
65 23 02 00,38,37 f7,1d,12 f4,91,,1c 7c,96
49 27 02 00,39,37 e4,1e,13 a2,93,,1d 3c,94
31 2b 02 00,39,37 e4,1f,13 47,92,,1e 24,87
18 2f 02 00,39,37 d0,1f,10 96,86,,1d 9c,85
00 33 02 00,39,37 e4,1f,0f c3,86,,1d 58,7e
e9 36 02 00,39,37 e4,1f,0d e0,81,,1d 1c,7a
d2 3a 02 00,39,37 f7,1e,0b 37,79,,1c 6c,64
b8 3e 02 00,38,37 e4,1d,0b 00,75,,1c 84,6f
a1 42 02 00,38,37 e4,1d,0c 15,77,,1c 44,7a
89 46 02 00,38,37 e4,1e,0c c2,7a,,1c 74,77
71 4a 02 00,38,37 d0,1e,0b 3d,76,,1c 14,5a
59 4e 02 00,38,37 f7,1e,0a 27,6f,,1c 6c,69
40 52 02 00,38,37 e4,1e,09 01,71,,17 88,7d
29 56 02 00,37,38 0b,1f,08 3c,6b,,14 04,8a
10 5a 02 00,37,37 d0,20,07 d8,69,,13 50,87
f9 5d 02 00,37,37 f7,21,06 f1,66,,13 04,6b
e1 61 02 00,37,37 e4,21,06 82,64,,12 bc,4f
c8 65 02 00,37,37 e4,21,06 7f,63,,12 30,3b
b0 69 02 00,36,37 f7,20,06 cd,63,,12 00,40
98 6d 02 00,36,37 d0,20,06 93,63,,11 b0,35
80 71 02 00,36,37 e4,1e,07 52,63,,0f b4,07
68 75 02 00,36,37 d0,1c,07 74,63,,10 14,4d
50 79 02 00,36,37 82,1c,06 55,64,,0f b8,60
38 7d 02 00,36,37 a9,1b,06 45,63,,10 74,7b
20 81 02 00,36,37 f7,1b,08 57,64,,12 c0,b8
08 85 02 00,36,37 a9,1c,0a f2,6b,,14 7c,be
f0 88 02 00,36,37 a9,1f,0b c5,70,,14 70,c4
d8 8c 02 00,36,37 e4,22,0d 1d,74,,16 54,b5
c0 90 02 00,36,37 d0,25,0e c6,7d,,17 6c,b4
a8 94 02 00,36,37 f7,29,10 8b,88,,18 bc,a3
72 9c 02 00,36,37 f7,2e,0f 14,85,,,8d
